ISSN,journal_title,publisher,URL,data_journal_type
2709-4715,Gigabyte,BGI and Oxford University Press,https://gigabytejournal.com/,pure
2572-4754,Gates Open Research,F1000Research,https://gatesopenresearch.org/,mixed
2732-5121,Open Research Europe,F1000Research,https://open-research-europe.ec.europa.eu/,mixed
2363-4952,RIDE - A review journal for digital editions and resources,Institut für Dokumentologie und Editorik,https://ride.i-d-e.de/,pure
2059-481X,Journal of Open Humanities Data,Ubiquity Press,https://openhumanitiesdata.metajnl.com/,pure
2296-7745,Frontiers in Marine Science,Frontiers,https://www.frontiersin.org/journals/marine-science,mixed
2054-345X,Human Genome Variation,Springer Nature,https://www.nature.com/hgv/,mixed
2032-6378,Journal of Astronomical Data,Vrije Universiteit Brussel,http://journalofastronomicaldata.be/,pure
1297-966X,Annals of Forest Science,BioMed Central (Springer Nature),https://annforsci.biomedcentral.com/,mixed
0092-640X,Atomic Data and Nuclear Data Tables,Elsevier,https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables,pure
1314-2828,Biodiversity Data Journal,Pensoft Publishers,https://bdj.pensoft.net/,mixed
2242-1300,BioInvasions Records,Regional Euro-Asian Biological Invasions Centre,https://www.reabic.net/journals/bir/,mixed
2042-6410,Biology of Sex Differences,BioMed Central (Springer Nature),https://bsd.biomedcentral.com/,mixed
1471-2253,BMC Anesthesiology,BioMed Central (Springer Nature),https://bmcanesthesiol.biomedcentral.com/,mixed
1471-2105,BMC Bioinformatics,BioMed Central (Springer Nature),https://bmcbioinformatics.biomedcentral.com/,mixed
1741-7007,BMC Biology,BioMed Central (Springer Nature),https://bmcbiol.biomedcentral.com/,mixed
1472-6750,BMC Biotechnology,BioMed Central (Springer Nature),https://bmcbiotechnol.biomedcentral.com/,mixed
1471-2407,BMC Cancer,BioMed Central (Springer Nature),https://bmccancer.biomedcentral.com/,mixed
1471-2261,BMC Cardiovascular Disorders,BioMed Central (Springer Nature),https://bmccardiovascdisord.biomedcentral.com/,mixed
2661-801X,BMC Chemistry,BioMed Central (Springer Nature),https://bmcchem.biomedcentral.com/,mixed
1472-6882,BMC Complementary and Alternative Medicine,BioMed Central (Springer Nature),https://bmccomplementmedtherapies.biomedcentral.com/,mixed
1472-6785,BMC Ecology,BioMed Central (Springer Nature),https://bmcbiotechnol.biomedcentral.com/,mixed
1471-227X,BMC Emergency Medicine,BioMed Central (Springer Nature),https://bmcemergmed.biomedcentral.com/,mixed
1472-6823,BMC Endocrine Disorders,BioMed Central (Springer Nature),https://bmcendocrdisord.biomedcentral.com/,mixed
1471-2148,BMC Evolutionary Biology,BioMed Central (Springer Nature),https://bmcecolevol.biomedcentral.com/,mixed
1471-230X,BMC Gastroenterology,BioMed Central (Springer Nature),https://bmcgastroenterol.biomedcentral.com/,mixed
1471-2156,BMC Genomic Data,BioMed Central (Springer Nature),https://bmcgenomdata.biomedcentral.com/,mixed
1471-2164,BMC Genomics,BioMed Central (Springer Nature),https://bmcgenomics.biomedcentral.com/,mixed
1471-2318,BMC Geriatrics,BioMed Central (Springer Nature),https://bmcgeriatr.biomedcentral.com/,mixed
1472-6963,BMC Health Services Research,BioMed Central (Springer Nature),https://bmchealthservres.biomedcentral.com/,mixed
1471-2172,BMC Immunology,BioMed Central (Springer Nature),https://bmcimmunol.biomedcentral.com/,mixed
1471-2334,BMC Infectious Diseases,BioMed Central (Springer Nature),https://bmcinfectdis.biomedcentral.com/,mixed
1472-6920,BMC Medical Education,BioMed Central (Springer Nature),https://bmcmededuc.biomedcentral.com/,mixed
1472-6939,BMC Medical Ethics,BioMed Central (Springer Nature),https://bmcmedethics.biomedcentral.com/,mixed
1755-8794,BMC Medical Genomics,BioMed Central (Springer Nature),https://bmcmedgenomics.biomedcentral.com/,mixed
1471-2342,BMC Medical Imaging,BioMed Central (Springer Nature),https://bmcmedimaging.biomedcentral.com/,mixed
1472-6947,BMC Medical Informatics and Decision Making,BioMed Central (Springer Nature),https://bmcmedinformdecismak.biomedcentral.com/,mixed
1471-2288,BMC Medical Research Methodology,BioMed Central (Springer Nature),https://bmcmedresmethodol.biomedcentral.com/,mixed
1741-7015,BMC Medicine,BioMed Central (Springer Nature),https://bmcmedicine.biomedcentral.com/,mixed
1471-2180,BMC Microbiology,BioMed Central (Springer Nature),https://bmcmicrobiol.biomedcentral.com/,mixed
1471-2121,BMC Molecular and Cell Biology,BioMed Central (Springer Nature),https://bmcmolcellbiol.biomedcentral.com/,mixed
2661-8850,BMC Molecular and Cell Biology,BioMed Central (Springer Nature),https://bmcmolcellbiol.biomedcentral.com/,mixed
1471-2474,BMC Musculoskeletal Disorders,BioMed Central (Springer Nature),https://bmcmusculoskeletdisord.biomedcentral.com/,mixed
1471-2369,BMC Nephrology,BioMed Central (Springer Nature),https://bmcnephrol.biomedcentral.com/,mixed
1471-2377,BMC Neurology,BioMed Central (Springer Nature),https://bmcneurol.biomedcentral.com/,mixed
1471-2202,BMC Neuroscience,BioMed Central (Springer Nature),https://bmcneurosci.biomedcentral.com/,mixed
1472-6955,BMC Nursing,BioMed Central (Springer Nature),https://bmcnurs.biomedcentral.com/,mixed
1471-2415,BMC Ophthalmology,BioMed Central (Springer Nature),https://bmcophthalmol.biomedcentral.com/,mixed
1472-6831,BMC Oral Health,BioMed Central (Springer Nature),https://bmcoralhealth.biomedcentral.com/,mixed
1472-684X,BMC Palliative Care,BioMed Central (Springer Nature),https://bmcpalliatcare.biomedcentral.com/,mixed
1471-2431,BMC Pediatrics,BioMed Central (Springer Nature),https://bmcpediatr.biomedcentral.com/submission-guidelines/preparing-your-manuscript,mixed
2050-6511,BMC Pharmacology and Toxicology,BioMed Central (Springer Nature),https://bmcpharmacoltoxicol.biomedcentral.com/,mixed
1471-2229,BMC Plant Biology,BioMed Central (Springer Nature),https://bmcplantbiol.biomedcentral.com/,mixed
1471-2393,BMC Pregnancy and Childbirth,BioMed Central (Springer Nature),https://bmcpregnancychildbirth.biomedcentral.com/,mixed
1471-2296,BMC Primary Care,BioMed Central (Springer Nature),https://bmcprimcare.biomedcentral.com/,mixed
1471-244X,BMC Psychiatry,BioMed Central (Springer Nature),https://bmcpsychiatry.biomedcentral.com/,mixed
2050-7283,BMC Psychology,BioMed Central (Springer Nature),https://bmcpsychology.biomedcentral.com/,mixed
1471-2458,BMC Public Health,BioMed Central (Springer Nature),https://bmcpublichealth.biomedcentral.com/,mixed
1471-2466,BMC Pulmonary Medicine,BioMed Central (Springer Nature),https://bmcpulmmed.biomedcentral.com/,mixed
1756-0500,BMC Research Notes,BioMed Central (Springer Nature),https://bmcresnotes.biomedcentral.com/,mixed
2052-1847,BMC Sports Science Medicine and Rehabilitation,BioMed Central (Springer Nature),https://bmcsportsscimedrehabil.biomedcentral.com/,mixed
1471-2482,BMC Surgery,BioMed Central (Springer Nature),https://bmcsurg.biomedcentral.com/,mixed
1471-2490,BMC Urology,BioMed Central (Springer Nature),https://bmcurol.biomedcentral.com/,mixed
1746-6148,BMC Veterinary Research,BioMed Central (Springer Nature),https://bmcvetres.biomedcentral.com/,mixed
1472-6874,BMC Women s Health,BioMed Central (Springer Nature),https://bmcwomenshealth.biomedcentral.com/,mixed
2056-3132,BMC Zoology,BioMed Central (Springer Nature),https://bmczool.biomedcentral.com/,mixed
1999-3110,Botanical Studies,Springer Open (Springer Nature),https://as-botanicalstudies.springeropen.com/,mixed
2045-3701,Cell & Bioscience,BioMed Central (Springer Nature),https://cellandbioscience.biomedcentral.com/,mixed
2405-8300,Chemical Data Collections,Elsevier,https://www.sciencedirect.com/journal/chemical-data-collections?_gl=1*1y9elne*_ga*NjE4NzA0MzA2LjE2NjUxNDIwNzM.*_ga_4R527DM8F7*MTY2NTE0MjA3Mi4xLjAuMTY2NTE0MjA3Mi4wLjAuMA..,pure
2045-709X,Chiropractic & Manual Therapies,BioMed Central (Springer Nature),https://chiromt.biomedcentral.com/,mixed
1278-3366,Cybergeo,OpenEdition,https://journals.openedition.org/cybergeo/,mixed
2306-5729,Data,MDPI,https://www.mdpi.com/journal/data,mixed
2352-3409,Data in Brief,Elsevier,https://www.sciencedirect.com/journal/data-in-brief,pure
1683-1470,Data Science Journal,Ubiquity Press,https://datascience.codata.org/,mixed
1758-0463,Database,Oxford University Press,https://academic.oup.com/database,mixed
1866-3516,Earth System Science Data,Copernicus,https://www.earth-system-science-data.net/,pure
1440-1703,Ecological Research,Blackwell Publishing (Wiley),https://esj-journals.onlinelibrary.wiley.com/journal/14401703,mixed
1939-9170,Ecology,John Wiley & Sons (Wiley),https://esajournals.onlinelibrary.wiley.com/journal/19399170,mixed
2639-5916,Ecosystems and People,Taylor & Francis,https://www.tandfonline.com/journals/tbsm22,mixed
2050-084X,eLife,eLife Sciences Publications,https://elifesciences.org/,mixed
2041-9139,EvoDevo,BioMed Central (Springer Nature),https://evodevojournal.biomedcentral.com/,mixed
2046-1402,F1000Research,F1000 Research,https://f1000research.com/,mixed
2197-5620,Forest Ecosystems,Elsevier,https://www.sciencedirect.com/journal/forest-ecosystems,mixed
2312-6604,Freshwater Metadata Journal,University of Natural Resources and Life Sciences Vienna,http://data.freshwaterbiodiversity.eu/fmj/,pure
1756-994X,Genome Medicine,BioMed Central (Springer Nature),https://genomemedicine.biomedcentral.com/,mixed
2049-6060,Geoscience Data Journal,Blackwell Publishing (Wiley),https://rmets.onlinelibrary.wiley.com/journal/20496060,pure
1991-9603,Geoscientific Model Development,Copernicus,https://www.geoscientific-model-development.net/,pure
2047-217X,GigaScience,Oxford University Press,https://academic.oup.com/gigascience,mixed
2194-7899,Health & Justice,BioMed Central (Springer Nature),https://healthandjusticejournal.biomedcentral.com/,mixed
1479-7364,Human Genomics,BioMed Central (Springer Nature),https://humgenomics.biomedcentral.com/,mixed
2110-7017,International Economics,Elsevier,https://www.journals.elsevier.com/international-economics,mixed
1464-3685,International Journal of Epidemiology,Oxford University Press,https://academic.oup.com/ije/pages/About,mixed
2196-2804,International Journal of Food Contamination,BioMed Central (Springer Nature),https://foodcontaminationjournal.biomedcentral.com/,mixed
1363-5387,Internet Archaeology,Council for British Archaeology,https://intarch.ac.uk/,mixed
2046-0481,Irish Veterinary Journal,BioMed Central (Springer Nature),https://irishvetjournal.biomedcentral.com/,mixed
2414-3146,IUCrData,International Union of Crystallography,https://iucrdata.iucr.org/x/,pure
2191-5040,Journal of Applied Volcanology,BioMed Central (Springer Nature),https://appliedvolc.biomedcentral.com/,mixed
2041-1480,Journal of Biomedical Semantics,BioMed Central (Springer Nature),https://jbiomedsem.biomedcentral.com/,mixed
1520-5134,Journal of Chemical & Engineering Data,American Chemical Society,https://pubs.acs.org/journal/jceaax,pure
1758-2946,Journal of Cheminformatics,BioMed Central (Springer Nature),https://jcheminf.biomedcentral.com/,mixed
1537-2537,Journal of Environmental Quality,John Wiley & Sons (Wiley),https://acsess.onlinelibrary.wiley.com/journal/15372537,mixed
1745-6673,Journal of Occupational Medicine and Toxicology,BioMed Central (Springer Nature),https://occup-med.biomedcentral.com/,mixed
2049-1565,Journal of Open Archaeology Data,Ubiquity Press,https://openarchaeologydata.metajnl.com/,pure
2050-9863,Journal of Open Psychology Data,Ubiquity Press,https://openpsychologydata.metajnl.com/,pure
2049-9647,Journal of Open Research Software,Ubiquity Press,https://openresearchsoftware.metajnl.com/,mixed
1529-7845,Journal of Physical and Chemical Reference Data,American Institute of Physics,https://aip.scitation.org/jpr/info/focus,pure
1550-2783,Journal of the International Society of Sports Nutrition,Taylor & Francis,https://www.tandfonline.com/journals/rssn20,mixed
2534-9708,Metabarcoding and Metagenomics,Pensoft Publishers,https://mbmg.pensoft.net/,mixed
2578-9430,microPublication Biology,Caltech Library,https://www.micropublication.org/,pure
1943-7706,Molecular Plant - Microbe Interactions,APS Publications,https://apsjournals.apsnet.org/journal/mpmi,mixed
2051-3933,Movement Ecology,BioMed Central (Springer Nature),https://movementecologyjournal.biomedcentral.com/,mixed
1314-4049,MycoKeys,Pensoft Publishers,https://mycokeys.pensoft.net/,mixed
1314-3301,Nature Conservation,Pensoft Publishers,https://natureconservation.pensoft.net/,mixed
1314-2488,NeoBiota,Pensoft Publishers,https://neobiota.pensoft.net/,mixed
1559-0089,Neuroinformatics,Springer (Springer Nature),https://www.springer.com/journal/12021/,mixed
0090-3752,Nuclear Data Sheets,Elsevier,https://www.sciencedirect.com/journal/nuclear-data-sheets,pure
1362-4962,Nucleic Acids Research,Oxford University Press,https://academic.oup.com/nar,mixed
2367-8194,One Ecosystem,Pensoft Publishers,https://oneecosystem.pensoft.net/,mixed
2352-6378,Open Data Journal for Agricultural Research,Wageningen University & Research Library,https://odjar.org/index,pure
2363-7501,Open Geospatial Data Software and Standards,Springer Open (Springer Nature),https://opengeospatialdata.springeropen.com/,mixed
2054-7102,Open Health Data,Ubiquity Press,https://openhealthdata.metajnl.com/,pure
2056-5542,Open Journal of Bioresources,Ubiquity Press,https://openbioresources.metajnl.com/,pure
2471-2906,Phytobiomes Journal,APS Publications,https://apsjournals.apsnet.org/journal/pbiomes,mixed
1314-2003,PhytoKeys,Pensoft Publishers,https://phytokeys.pensoft.net/,mixed
1943-7684,Phytopathology,APS Publications,https://apsjournals.apsnet.org/journal/phyto,mixed
1471-9053,Plant and Cell Physiology,Oxford University Press,https://academic.oup.com/pcp,mixed
1943-7692,Plant Disease,APS Publications,https://apsjournals.apsnet.org/journal/pdis,mixed
1746-4811,Plant Methods,BioMed Central (Springer Nature),https://plantmethods.biomedcentral.com/,mixed
2452-3666,Research Data Journal for the Humanities and Social Sciences,Brill,https://brill.com/view/journals/rdj/rdj-overview.xml,pure
2367-7163,Research Ideas and Outcomes,Pensoft Publishers,https://riojournal.com/,mixed
2052-4463,Scientific Data,Springer Nature,https://www.nature.com/sdata/,mixed
1747-597X,Substance Abuse Treatment Prevention and Policy,BioMed Central (Springer Nature),https://substanceabusepolicy.biomedcentral.com/,mixed
1538-4365,The Astrophysical Journal Supplement Series,IOP,https://journals.aas.org/astrophysical-supplement-series/,pure
1741-3176,The International Journal of Robotics Research,SAGE Publishing,https://journals.sagepub.com/home/IJR,mixed
1365-313X,The Plant Journal,Blackwell Publishing (Wiley),https://onlinelibrary.wiley.com/journal/1365313x,mixed
2578-2703,The Plant Phenome Journal,John Wiley & Sons (Wiley),https://acsess.onlinelibrary.wiley.com/journal/25782703,mixed
2603-431X,Viticulture Data Journal,Pensoft Publishers,https://vdj.pensoft.net/,pure
2398-502X,Wellcome Open Research,F1000 Research,https://wellcomeopenresearch.org/,mixed
